"","year","","","","","","","","","","","","","","",""
"country","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Brunei Darussalam","3.47","1.70","2.59","3.28","4.00","4.00","6.00","3.00","10.27","10.31","3.70","312.00","523.00","3 786.00","4 683.00",""
"Cambodia","188.91","275.47","236.61","218.22","233.50","244.97","303.18","342.08","464.97","381.40","502.70","540.00","370.00","432.00","467.00","238.00"
"Indonesia","","","","","","","","","","135.00","389.00","6 528.00","5 815.00","7 174.00","5 341.00",""
"Lao PDR","623.31","711.80","804.19","818.34","1 005.00","1 111.96","1 218.00","1 318.00","1 413.00","1 504.00","1 593.00","1 697.38","1 766.38","1 841.62","2 299.12",""
"Malaysia","8 487.45","8 940.23","9 441.91","9 985.31","10 589.82","11 087.88","11 629.26","12 094.79","12 677.22","13 173.07","13 725.95","14 322.23","14 891.58","15 506.69","16 225.39",""
"Myanmar","1 609.00","1 674.00","1 881.00","1 934.00","3 153.20","3 419.00","4 162.00","4 505.00","5 122.70","5 640.07","5 997.52","6 069.30","6 330.53","6 243.04","5 874.56",""
"Philippines","2 983.00","3 201.00","3 482.15","3 881.00","4 117.00","4 251.00","4 489.00","4 623.00","5 330.00","6 174.00","7 162.00","8 014.00","7 328.12","3 577.61","8 473.00",""
"Singapore","146.00","147.00","148.00","147.00","144.00","144.00","144.00","143.00","143.00","142.00","137.00","141.00","141.00","142.00","142.00",""
"Thailand","16 448.53","16 729.45","17 322.54","18 174.92","19 169.42","19 987.19","20 327.76","20 519.50","20 497.30","20 717.65","21 099.53","21 425.04","21 588.42","21 864.33","22 300.72",""
"Viet Nam","25 273.00","28 195.00","31 155.00","33 774.00","36 894.00","38 643.00","41 197.00","44 128.00","47 131.00","54 063.00","58 169.43","61 728.25","72 061.32","","",""